code,name
1850,Colombia Northwest Choco (n=20)
1856,Colombia Northwest Tule (n=29)
2526,Colombia Pacific Coast Region Embera (n=49)
1847,Colombia Providencia Island African (n=30)
3453,Colombia San Basilio de Palenque (n=42)
1828,Colombia Sierra Nevada de Santa Marta Arhuaco (n=107)
1831,Colombia Sierra Nevada de Santa Marta Arsario (n=18)
2528,Colombia Sierra Nevada de Santa Marta Arsario pop 2 (n=50)
2529,Colombia Sierra Nevada de Santa Marta Ijka (n=40)
1852,Colombia Sierra Nevada de Santa Marta Ijka pop 2 (n=30)
1829,Colombia Sierra Nevada de Santa Marta Kogi (n=42)
2527,Colombia Sierra Nevada de Santa Marta Kogi pop 2 (n=50)
1853,Colombia Sierra Nevada de Santa Marta Kogi pop 3 (n=31)
3701,Colombia Waunana NA-DHS_20 (G) (n=20)
3567,Colombia Wayu from Guajira Peninsula (n=48)
3693,Colombia Wayuu NA-DHS_15 (G) (n=15)
1849,Colombia West Cauca (n=20)
1851,Colombia West Embera (n=20)
1857,Colombia West Waunana (n=30)
3703,Colombia Zenu NA-DHS_18 (G) (n=16)
3700,Colombia/Brazil Ticuna Arara NA-DHS_21 (G) (n=17)
3699,Colombia/Brazil Ticuna Tarapaca NA-DHS_22 (G) (n=19)
1592,Congo Kinshasa Bantu (n=90)
1373,Congo Kinshasa expatriates living in Belgium (n=75)
2142,Cook Islands (n=50)
1705,Cook Islands Rarotonga (n=78)
3607,Costa Rica African -Caribbean (G) (n=102)
3608,Costa Rica Amerindians (G) (n=125)
2037,Costa Rica and Panama Mestizo (n=56)
3709,Costa Rica Cabecar NA-DHS_9 (G) (n=19)
3606,Costa Rica Central Valley Mestizo  (G) (n=221)
3609,Costa Rica Guanacaste Mestizo (G) (n=110)
3708,Costa Rica Guaymi NA-DHS_10 (G) (n=18)
1331,Croatia (n=150)
2732,Croatia Gorski Kotar Region (n=63)
2548,Croatia Krk Island (n=212)
2786,Croatia Krk Island Dobrinj (n=28)
2787,Croatia Krk Island Dubasnica (n=23)
2788,Croatia Krk Island Vrbnik (n=28)
2199,Croatia pop 2 (n=100)
3133,Croatia pop 3 (n=120)
3260,Croatia pop 4 (n=4000)
1236,Cuba Caucasian (n=70)
2241,Cuba Mixed (n=78)
2258,Cuba Mixed pop 2 (n=189)
1235,Cuba Mixed Race (n=42)
1397,Czech Republic (n=106)
2754,Czech Republic Kurd (n=74)
3258,Czech Republic NMDR (n=5099)
2515,Czech Republic pop 2 (n=99)
3321,Czech Republic pop 3 (n=180)
2516,Czech Republic Romani (n=34)
2753,Czech Republic Romani  pop 2 (n=46)
1922,Denmark (n=55)
1270,Ecuador African (n=58)
3244,Ecuador African pop2 (n=45)
3401,Ecuador Amazonia Mixed Ancestry (n=39)
3418,Ecuador Amerindians (n=63)
3410,Ecuador Andes Mixed Ancestry (n=824)
1846,Ecuador Cayapa (n=183)
3241,Ecuador Cayapa pop 2 (n=34)
3400,Ecuador Coast Mixed Ancestry (n=238)
3411,Ecuador Mixed Ancestry (n=1173)
2204,England (n=537)
2129,England Bedfordshire (n=354)
3392,England Blood Donors of Mixed Ethnicity (n=519)
2197,England Lancaster (n=545)
2194,England Leeds (n=5024)
2193,England Liverpool (n=1343)
2172,England London Ashkenazi Jews (n=500)
2196,England Manchester (n=1640)
2195,England Newcastle (n=2739)
2837,England North West (n=298)
3110,England North West Mixed pop 2 (n=379)
2823,England Northwest Mixed (n=2960)
2245,England pop 2 (n=114)
2513,England pop 3 (n=61)
2783,England pop 5 (n=42)
1939,England pop 6 (n=177)
2192,England Sheffield (n=4755)
2146,Equatorial Guinea Bioko Island Bubi (n=100)
1320,Ethiopia Amhara (n=98)
1321,Ethiopia Oromo (n=83)
1711,Fiji Viti Levu Island (n=57)
2028,Finland (n=91)
3193,Finland pop2 (n=150)
3086,France Bordeaux (n=990)
1279,France Ceph (n=124)
2175,France Corsica Island (n=100)
3552,France French Bone Marrow Donor Registry (n=42623)
3087,France Grenoble (n=1000)
2429,France Grenoble, Nantes and Rennes (n=6094)
2782,France Lille (n=95)
3082,France Lyon (n=4813)
3085,France Marseille (n=1000)
2446,France Reims (n=102)
2268,France Rennes (n=200)
2517,France Rennes pop 2 (n=148)
2537,France Rennes pop 3 (n=200)
3088,France Rennes pop 4 (n=1000)
1804,France South (n=350)
1517,France Southeast (n=130)
1570,France West (n=100)
2508,France West Breton (n=150)
1758,Gabon Haut-Ogooue Dienga (n=167)
2523,Gabon Lambarene (n=120)
1269,Gambia (n=146)
2533,Gambia pop 2 (n=100)
3781,Gambia pop 3 (n=939)
3664,Gaza (n=42)
3362,Gaza  Palestinians (n=165)
3775,Georgia Caucasus Tbilisi (n=119)
3361,Georgia Kurds (n=30)
1888,Georgia Svaneti Region Svan (n=80)
2026,Georgia Tibilisi (n=109)
2027,Georgia Tibilisi Kurd (n=31)
2253,Germany (n=11407)
3021,Germany DKMS - Austria minority (n=1698)
3022,Germany DKMS - Bosnia and Herzegovina minority (n=1028)
3023,Germany DKMS - China minority (n=1282)
3028,Germany DKMS - Croatia minority (n=2057)
3025,Germany DKMS - France minority (n=1406)
3767,Germany DKMS - German donors (n=3456066)
3027,Germany DKMS - Greece minority (n=1894)
3029,Germany DKMS - Italy minority (n=1159)
3030,Germany DKMS - Netherlands minority (n=1374)
3031,Germany DKMS - Portugal minority (n=1176)
3032,Germany DKMS - Romania minority (n=1234)
3024,Germany DKMS - Spain minority (n=1107)
3033,Germany DKMS - Turkey minority (n=4856)
3026,Germany DKMS - United Kingdom minority (n=1043)
1387,Germany Essen (n=174)
2493,Germany pop 2 (n=206)
2538,Germany pop 3 (n=111)
2752,Germany pop 6 (n=8862)
3089,Germany pop 8 (n=39689)
3172,Ghana Accre Asutuare Akan (n=429)
3108,Ghana Ga-Adangbe (n=131)
1759,Greece (n=48)
1614,Greece Crete (n=135)
1565,Greece North (n=500)
2492,Greece pop 4 (n=98)
2618,Greece pop 5 (n=500)
3076,Greece pop 6 (n=242)
3090,Greece pop 7 (n=11250)
3137,Greece pop 8 (n=83)
1654,Greece pop2 (n=120)
1893,Greece pop3 (n=246)
3710,Guatemala Kaqchikel NA-DHS_8 (G) (n=19)
1621,Guatemala Mayan (n=132)
3743,Guatemala, Guatemala City Mixed Ancestry (n=127)
1983,Guinea Bissau (n=65)
2486,Guinea Bissau Balanta (n=48)
2487,Guinea Bissau Bijago (n=23)
2488,Guinea Bissau Fula (n=31)
2489,Guinea Bissau Papel (n=25)
1301,Hong Kong Chinese (n=569)
3357,Hong Kong Chinese BMDR (n=7595)
3358,Hong Kong Chinese cord blood registry (n=3892)
3724,Hong Kong Chinese HKBMDR HLA 11 loci (n=5266)
3667,Hong Kong Chinese HKBMDR. DQ and DP (n=1064)
2440,India Andhra Pradesh Brahmin (n=98)
2040,India Andhra Pradesh Golla (n=111)
2441,India Andhra Pradesh Sunni (n=100)
3434,India Andhra Pradesh Telugu Speaking (n=186)
3550,India Bikaner Non-Raikas (n=127)
3549,India Bikaner Raikas (n=143)
1278,India Bombay (n=59)
1776,India Delhi (n=112)
2255,India Delhi pop 2 (n=90)
1998,India Jalpaiguri Toto (n=40)
3622,India Karnataka Kannada Speaking (n=174)
2186,India Kerala Adiya (n=21)
2180,India Kerala Hindu Ezhava (n=24)
2178,India Kerala Hindu Nair (n=41)
2182,India Kerala Hindu Namboothiri (n=40)
2177,India Kerala Hindu Pulaya (n=16)
2188,India Kerala Kanikkar (n=22)
2189,India Kerala Kattunaikka (n=17)
2187,India Kerala Kurichiya (n=10)
2190,India Kerala Kuruma (n=15)
2181,India Kerala Malabar Muslim (n=34)
2185,India Kerala Malapandaram (n=10)
3620,India Kerala Malayalam speaking (n=356)
2184,India Kerala Paniya (n=10)
2179,India Kerala Syrian Christian (n=31)
1297,India Khandesh Region Pawra (n=50)
1388,India Lucknow (n=123)
1298,India Mumbai Maratha (n=91)
2045,India New Delhi (n=71)
2623,India New Delhi pop 2 (n=102)
2500,India North (n=85)
3035,India North Gujarat (n=338)
1524,India North pop 2 (n=72)
2838,India North pop 3 (n=587)
2469,India Northeast Kayastha (n=190)
2475,India Northeast Lachung (n=58)
2470,India Northeast Mathur (n=155)
2476,India Northeast Mech (n=63)
2477,India Northeast Rajbanshi (n=98)
2471,India Northeast Rastogi (n=196)
2473,India Northeast Shia (n=190)
2474,India Northeast Sunni (n=188)
2472,India Northeast Vaish (n=198)
3720,India sub-Himalayan West Bengal Kami (n=158)
3432,India Tamil Nadu (n=2492)
2632,India Tamil Nadu Chennai (n=137)
2321,India Tamil Nadu Dravidian (n=156)
1500,India Tamil Nadu Nadar (n=61)
2263,India Uttar Pradesh (n=202)
1296,India West Bhil (n=50)
1247,India West Coast Parsi (n=50)
1938,Indonesia Java (n=58)
2571,Indonesia Java pop 2 (n=36)
2771,Indonesia Java Western (n=236)
